State,Model,MAE,RMSE,MAPE,WAPE,Forecast Reliability,Is Best Model,Training Months,Testing Months,Training Start,Training End,Testing Start,Testing End
Delaware,Historical Average,2137.9972,4288.7959,61.8221,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Last Value (Naive),2137.9972,4311.5508,67.6553,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Three Month Moving Average,2137.9972,4307.517,66.6316,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Six Month Moving Average,2137.9972,4375.3552,83.3158,100.0,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Simple Exponential Smoothing,2137.9972,4288.795,61.8218,100.0,Very Low,True,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Holt Linear Trend,2140.6891,4348.0457,75.5953,100.1259,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Delaware,Holt Damped Trend,2139.7917,4270.7417,58.0055,100.0839,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Florida,Historical Average,1417.472,1930.3838,93.2162,56.0338,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Last Value (Naive),1700.934,1806.2788,161.8034,67.2393,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Three Month Moving Average,1935.6924,2043.7216,210.4247,76.5195,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Six Month Moving Average,1417.472,1897.2279,97.963,56.0338,Very Low,True,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Simple Exponential Smoothing,1417.472,1930.381,93.2166,56.0338,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Holt Linear Trend,1718.6441,1794.9105,154.5828,67.9394,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Florida,Holt Damped Trend,1767.1431,2378.4377,71.651,69.8566,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Georgia,Historical Average,949.001,980.5724,627.6679,164.9299,Very Low,True,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Last Value (Naive),2570.9533,2702.6981,1934.2628,446.8141,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Three Month Moving Average,3147.06,3255.5741,2306.7428,546.9375,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Six Month Moving Average,2044.7067,2208.0764,1594.0197,355.356,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Simple Exponential Smoothing,1711.1156,1857.2031,1347.6452,297.3802,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Holt Linear Trend,1758.1124,1936.8674,1419.0169,305.5479,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Georgia,Holt Damped Trend,1575.785,1688.6817,1237.4658,273.8606,Very Low,False,41,6,2015-01-01,2018-05-01,2018-06-01,2018-11-01
Idaho,Historical Average,100.4945,115.5084,152.2626,143.8987,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Idaho,Last Value (Naive),69.837,131.1823,100.0,100.0,Very Low,True,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Idaho,Three Month Moving Average,213.7488,230.2239,462.507,306.0681,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Idaho,Six Month Moving Average,123.2459,129.1382,214.5868,176.4765,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Idaho,Simple Exponential Smoothing,100.4945,115.5084,152.2625,143.8986,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
