Selected State,Best Model,Month,Actual Sales,Predicted Sales,Error,Absolute Error,MAE,RMSE,MAPE,WAPE,Forecast Reliability
California,Holt Linear Trend,2018-07-01,12923.859,12173.245504142224,750.6134958577768,750.6134958577768,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,Holt Linear Trend,2018-08-01,14534.322,12367.563844258146,2166.7581557418544,2166.7581557418544,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,Holt Linear Trend,2018-09-01,18067.032,12561.882184374068,5505.149815625931,5505.149815625931,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,Holt Linear Trend,2018-10-01,15776.301000000001,12756.20052448999,3020.100475510011,3020.100475510011,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,Holt Linear Trend,2018-11-01,13357.371000000001,12950.518864605912,406.8521353940887,406.8521353940887,3003.7766,3718.4158,17.5552,19.1778,Moderate
California,Holt Linear Trend,2018-12-01,19318.023,13144.837204721836,6173.185795278165,6173.185795278165,3003.7766,3718.4158,17.5552,19.1778,Moderate
